"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"02/07/2023 12:00:00 - 02/07/2023 12:15:00","BZN|DE-LU","Sequence Sequence 1","60.50","",""
"02/07/2023 12:15:00 - 02/07/2023 12:30:00","BZN|DE-LU","Sequence Sequence 1","61.70","",""
"02/07/2023 12:30:00 - 02/07/2023 12:45:00","BZN|DE-LU","Sequence Sequence 1","58.54","",""
"02/07/2023 12:45:00 - 02/07/2023 13:00:00","BZN|DE-LU","Sequence Sequence 1","63.65","",""
"02/07/2023 13:00:00 - 02/07/2023 13:15:00","BZN|DE-LU","Sequence Sequence 1","48.40","",""
"02/07/2023 13:15:00 - 02/07/2023 13:30:00","BZN|DE-LU","Sequence Sequence 1","55.40","",""
"02/07/2023 13:30:00 - 02/07/2023 13:45:00","BZN|DE-LU","Sequence Sequence 1","52.40","",""
"02/07/2023 13:45:00 - 02/07/2023 14:00:00","BZN|DE-LU","Sequence Sequence 1","54.50","",""
"02/07/2023 14:00:00 - 02/07/2023 14:15:00","BZN|DE-LU","Sequence Sequence 1","45.99","",""
"02/07/2023 14:15:00 - 02/07/2023 14:30:00","BZN|DE-LU","Sequence Sequence 1","45.95","",""
"02/07/2023 14:30:00 - 02/07/2023 14:45:00","BZN|DE-LU","Sequence Sequence 1","46.37","",""
"02/07/2023 14:45:00 - 02/07/2023 15:00:00","BZN|DE-LU","Sequence Sequence 1","46.88","",""
"02/07/2023 15:00:00 - 02/07/2023 15:15:00","BZN|DE-LU","Sequence Sequence 1","38.39","",""
"02/07/2023 15:15:00 - 02/07/2023 15:30:00","BZN|DE-LU","Sequence Sequence 1","41.11","",""
"02/07/2023 15:30:00 - 02/07/2023 15:45:00","BZN|DE-LU","Sequence Sequence 1","36.88","",""
"02/07/2023 15:45:00 - 02/07/2023 16:00:00","BZN|DE-LU","Sequence Sequence 1","39.03","",""
"02/07/2023 16:00:00 - 02/07/2023 16:15:00","BZN|DE-LU","Sequence Sequence 1","35.95","",""
"02/07/2023 16:15:00 - 02/07/2023 16:30:00","BZN|DE-LU","Sequence Sequence 1","36.27","",""
"02/07/2023 16:30:00 - 02/07/2023 16:45:00","BZN|DE-LU","Sequence Sequence 1","35.20","",""
"02/07/2023 16:45:00 - 02/07/2023 17:00:00","BZN|DE-LU","Sequence Sequence 1","33.49","",""
"02/07/2023 17:00:00 - 02/07/2023 17:15:00","BZN|DE-LU","Sequence Sequence 1","33.07","",""
"02/07/2023 17:15:00 - 02/07/2023 17:30:00","BZN|DE-LU","Sequence Sequence 1","29.94","",""
"02/07/2023 17:30:00 - 02/07/2023 17:45:00","BZN|DE-LU","Sequence Sequence 1","34.78","",""
"02/07/2023 17:45:00 - 02/07/2023 18:00:00","BZN|DE-LU","Sequence Sequence 1","31.11","",""
"02/07/2023 18:00:00 - 02/07/2023 18:15:00","BZN|DE-LU","Sequence Sequence 1","27.18","",""
"02/07/2023 18:15:00 - 02/07/2023 18:30:00","BZN|DE-LU","Sequence Sequence 1","27.87","",""
"02/07/2023 18:30:00 - 02/07/2023 18:45:00","BZN|DE-LU","Sequence Sequence 1","30.35","",""
"02/07/2023 18:45:00 - 02/07/2023 19:00:00","BZN|DE-LU","Sequence Sequence 1","30.54","",""
"02/07/2023 19:00:00 - 02/07/2023 19:15:00","BZN|DE-LU","Sequence Sequence 1","35.22","",""
"02/07/2023 19:15:00 - 02/07/2023 19:30:00","BZN|DE-LU","Sequence Sequence 1","29.20","",""
"02/07/2023 19:30:00 - 02/07/2023 19:45:00","BZN|DE-LU","Sequence Sequence 1","31.36","",""
"02/07/2023 19:45:00 - 02/07/2023 20:00:00","BZN|DE-LU","Sequence Sequence 1","29.16","",""
"02/07/2023 20:00:00 - 02/07/2023 20:15:00","BZN|DE-LU","Sequence Sequence 1","33.29","",""
"02/07/2023 20:15:00 - 02/07/2023 20:30:00","BZN|DE-LU","Sequence Sequence 1","37.65","",""
"02/07/2023 20:30:00 - 02/07/2023 20:45:00","BZN|DE-LU","Sequence Sequence 1","32.00","",""
"02/07/2023 20:45:00 - 02/07/2023 21:00:00","BZN|DE-LU","Sequence Sequence 1","35.45","",""
"02/07/2023 21:00:00 - 02/07/2023 21:15:00","BZN|DE-LU","Sequence Sequence 1","39.83","",""
"02/07/2023 21:15:00 - 02/07/2023 21:30:00","BZN|DE-LU","Sequence Sequence 1","39.00","",""
"02/07/2023 21:30:00 - 02/07/2023 21:45:00","BZN|DE-LU","Sequence Sequence 1","40.08","",""
